ID,bbox
e18e3e44-8de7-486e-b4ba-5e7fa0d48a39,"-84.2199,41.72,-84.22,41.7201"
ANT-REF-MT2502-026,"163,-76.45,162,-76.44"
e933965f-ccc9-48ff-a063-30c32ae928aa,"-86.1999,42.66,-86.2,42.6601"
6b9ae777-880f-443c-84fe-e72d6e1e7ffb,"139.7801,35.67,139.78,35.6801"
VAC9619-000316,"-180,-90,180,90"
VAC9619-000325,"-180,-90,180,90"
VAC9619-000366,"21.5,53.5,31.25,53.6667"
VAC9619-001378,"52.25,54.1667,32,54.3333"
VAC9619-001388,"33.251,54,33.25,54.167"
p16022coll230:1288,"144.4,-14.75,-64.35,71.6"
9de23c1e-0825-41d8-b7e2-5a12a6c54cab,"-1.25657737261,40.9297175172,-1.2565773726,40.92971751721"
ac19ac90-110e-4c3a-a5e9-7f7015ea68e0,"-86.7399,41.79,-86.74,41.7901"
p16022coll229:724,"-179.9,-85.0,180.0,85.0"
6aba9aa6-b75d-49ac-b4e4-6b01543fe2c9,"-0.08,51.5,-0.0601,51.5001"
549d8383-bdaa-4603-a2cc-1df517b268fa,"-180,58.48,-179,90"
p16022coll230:473,"15,0,20,90"
380212b8-db97-4904-b977-f418b82c37cd,"2.3301,38.87,2.33,48.8701"
366b196f-2701-4ed4-86ee-062264e9e3cb,"2.3301,38.87,2.33,48.8701"
p16022coll230:4108,"0,45,-59.75,47.25"
871f5cbf-e0da-4e57-8dde-d4e6c6cc42b6,"139.5667,-59.9667,-73.1167,3.25"
ANT-REF-GT2507-010,"-113,-84.833,-116,-84.75"
ANT-REF-MT2503-068,"110,-85,125,-84"
p16022coll229:650,"-180,-90,180,90"
a47488d7-26be-4b1c-a4af-4383951e6991,"-179.9,-85.0,180.0,85.0"
p16022coll230:750,"144.4,-14.75,-64.35,71.6"
p16022coll230:494,"138,52,137,80"
p16022coll230:3773,"176.0,-21.0,-170.0,-13.0"
p16022coll246:451,"85.81666667,21.25,178.8666667,27.21666667"
ark-85335-m59k47507,"-85.599068,45.690523,-85.598814,45.690643"
p16022coll230:214,"15.85,47.91666667,32.93333333,48.43333333"
p16022coll230:3997,"144.4,-14.75,-64.35,71.6"
p16022coll230:4116,"165,10,-5,85"
p16022coll230:597,"-77.91,33.96,-77.9001,33.9601"
p16022coll205:1110,"2.223888889,48.81555556,4.469722222,48.90194444"
p16022coll205:932,"2.25,48.81666667,4.416666667,48.9"
2ece81ca-a3dc-4e5a-b84c-82d9e7ddc98c,"3.3801,50.6,3.38,50.6001"
b61be2d6-0484-4321-8398-0b49ef53f2c1,"2.3301,48.87,2.33,48.8701"
ec3e347f-2d21-4bbe-9e54-99856a724111,"2.3501,48.85,2.35,48.8501"
ece172d0-8ab3-4695-a902-79a925bb1fb0,"170.6,18.8,-66.9,71.6"
